,GEO_ID,BoroCT,Percent White
0,1400000US36005000100,2000100,0.32532051282051283
1,1400000US36005000200,2000200,0.4234333627537511
2,1400000US36005000400,2000400,0.4416243654822335
3,1400000US36005001600,2001600,0.32343347639484976
4,1400000US36005001900,2001900,0.21808341292581981
5,1400000US36005002000,2002000,0.3506637168141593
6,1400000US36005002300,2002300,0.13575081357508137
7,1400000US36005002400,2002400,0.41935483870967744
8,1400000US36005002500,2002500,0.19607843137254902
9,1400000US36005002701,2002701,0.11311349693251534
10,1400000US36005002702,2002702,0.11798245614035088
11,1400000US36005002800,2002800,0.1271597748010095
12,1400000US36005003100,2003100,0.20722320899940794
13,1400000US36005003300,2003300,0.13030210558437597
14,1400000US36005003500,2003500,0.12874328128999232
15,1400000US36005003700,2003700,0.24
16,1400000US36005003800,2003800,0.662962962962963
17,1400000US36005003900,2003900,0.20894568690095847
18,1400000US36005004001,2004001,0.2264406779661017
19,1400000US36005004100,2004100,0.16324469875462808
20,1400000US36005004200,2004200,0.3127192412628297
21,1400000US36005004300,2004300,0.19182276657060518
22,1400000US36005004400,2004400,0.14201317882299477
23,1400000US36005004600,2004600,0.45436002039775625
24,1400000US36005004800,2004800,0.10672802980495288
25,1400000US36005005001,2005001,0.0634231103388358
26,1400000US36005005002,2005002,0.07814735336194564
27,1400000US36005005100,2005100,0.07599790831445007
28,1400000US36005005200,2005200,0.13241308793456033
29,1400000US36005005300,2005300,0.11067921440261866
30,1400000US36005005400,2005400,0.09710743801652892
31,1400000US36005005600,2005600,0.13997367266344887
32,1400000US36005005902,2005902,0.17557251908396945
33,1400000US36005006000,2006000,0.26262626262626265
34,1400000US36005006100,2006100,0.09381720430107526
35,1400000US36005006200,2006200,0.09899073690031798
36,1400000US36005006300,2006300,0.22981230903535574
37,1400000US36005006400,2006400,0.12894201424211596
38,1400000US36005006500,2006500,0.21945322670634182
39,1400000US36005006700,2006700,0.10380313199105146
40,1400000US36005006800,2006800,0.05820433436532508
41,1400000US36005006900,2006900,0.14690424304576336
42,1400000US36005007000,2007000,0.148698035632709
43,1400000US36005007100,2007100,0.1259391771019678
44,1400000US36005007200,2007200,0.14932054356514787
45,1400000US36005007300,2007300,0.19059809169187805
46,1400000US36005007400,2007400,0.3948816730875069
47,1400000US36005007500,2007500,0.1817095038852361
48,1400000US36005007600,2007600,0.14874788175484843
49,1400000US36005007700,2007700,0.2215628090999011
50,1400000US36005007800,2007800,0.21739716790289954
51,1400000US36005007900,2007900,0.10141903171953255
52,1400000US36005008300,2008300,0.1261730969760167
53,1400000US36005008400,2008400,0.353570196619524
54,1400000US36005008500,2008500,0.12786361214704314
55,1400000US36005008600,2008600,0.27566056910569103
56,1400000US36005008700,2008700,0.1121266525216256
57,1400000US36005008900,2008900,0.14449968924798012
58,1400000US36005009000,2009000,0.4449262792714657
59,1400000US36005009200,2009200,0.18211354309165526
60,1400000US36005009300,2009300,0.13438414039649008
61,1400000US36005009600,2009600,0.23638968481375358
62,1400000US36005009800,2009800,0.4932716568544996
63,1400000US36005011000,2011000,
64,1400000US36005011502,2011502,0.0718027062418158
65,1400000US36005011700,2011700,0.016632016632016633
66,1400000US36005011800,2011800,0.6908958749772851
67,1400000US36005011900,2011900,0.1349264705882353
68,1400000US36005012101,2012101,0.11530944625407166
69,1400000US36005012102,2012102,0.1575673807878369
70,1400000US36005012300,2012300,0.08223992502343018
71,1400000US36005012500,2012500,0.11865284974093264
72,1400000US36005012701,2012701,0.2266597510373444
73,1400000US36005012901,2012901,0.13396696085087123
74,1400000US36005013000,2013000,0.6605691056910569
75,1400000US36005013100,2013100,0.1778127458693942
76,1400000US36005013200,2013200,0.5185643564356436
77,1400000US36005013300,2013300,0.1665
78,1400000US36005013500,2013500,0.0947075208913649
79,1400000US36005013800,2013800,0.6580370942812983
80,1400000US36005014100,2014100,0.09348829259955563
81,1400000US36005014300,2014300,0.03171390013495277
82,1400000US36005014400,2014400,0.24464772284935773
83,1400000US36005014500,2014500,0.0914470145239376
84,1400000US36005014701,2014701,0.08482079108953305
85,1400000US36005014702,2014702,0.07801287948482061
86,1400000US36005014900,2014900,0.1808101380402806
87,1400000US36005015100,2015100,0.09625164814466002
88,1400000US36005015200,2015200,0.5296251511487303
89,1400000US36005015300,2015300,0.05498435404559678
90,1400000US36005015500,2015500,0.06798770071745815
91,1400000US36005015700,2015700,0.16879251700680273
92,1400000US36005015800,2015800,0.5114155251141552
93,1400000US36005015900,2015900,0.15134586084306756
94,1400000US36005016000,2016000,0.6748499727223132
95,1400000US36005016100,2016100,0.08559139784946236
96,1400000US36005016200,2016200,0.4994652406417112
97,1400000US36005016300,2016300,
98,1400000US36005016400,2016400,0.8652007648183556
99,1400000US36005016500,2016500,0.21968911917098446
100,1400000US36005016600,2016600,0.42023172905525846
101,1400000US36005016700,2016700,0.11853856562922868
102,1400000US36005016900,2016900,0.13227189222290264
103,1400000US36005017100,2017100,
104,1400000US36005017300,2017300,0.11834319526627218
105,1400000US36005017500,2017500,0.10250917992656058
106,1400000US36005017701,2017701,0.12236559139784946
107,1400000US36005017702,2017702,0.18366217960538447
108,1400000US36005017901,2017901,0.1457255226661147
109,1400000US36005017902,2017902,0.14136904761904762
110,1400000US36005018101,2018101,0.06774097284392719
111,1400000US36005018102,2018102,0.11956932376275028
112,1400000US36005018301,2018301,0.16898148148148148
113,1400000US36005018302,2018302,0.11689330543933055
114,1400000US36005018400,2018400,0.6029528078038492
115,1400000US36005018500,2018500,0.12354182868570159
116,1400000US36005018900,2018900,0.184652862362972
