Date, Restaurant Employment 
7/1/1995,103500
8/1/1995,103100
9/1/1995,105600
10/1/1995,104700
11/1/1995,107600
12/1/1995,108700
1/1/1994,97900
2/1/1994,96800
3/1/1994,98400
4/1/1994,100900
5/1/1994,102700
6/1/1994,103500
7/1/1994,101700
8/1/1994,101200
6/1/1994,103500
10/1/1994,103900
11/1/1994,105100
12/1/1994,106600
1/1/1993,95800
2/1/1993,96300
3/1/1993,95700
4/1/1993,97600
5/1/1993,100200
6/1/1993,100700
7/1/1993,98000
8/1/1993,98100
9/1/1993,100000
6/1/1993,100700
11/1/1993,101500
12/1/1993,102900
1/1/1992,95900
2/1/1992,95200
3/1/1992,96000
4/1/1992,97000
5/1/1992,98400
6/1/1992,99100
7/1/1992,97400
8/1/1992,96100
9/1/1992,97900
10/1/1992,98100
6/1/1992,99100
12/1/1992,99900
1/1/1991,104300
2/1/1991,103600
3/1/1991,104600
4/1/1991,104700
5/1/1991,105400
6/1/1991,106200
7/1/1991,102600
8/1/1991,102000
9/1/1991,103500
9/1/1991,103500
11/1/1991,103900
5/1/1991,105400
1/1/1990,113400
2/1/1990,112300
3/1/1990,113900
4/1/1990,114000
5/1/1990,115500
6/1/1990,116300
7/1/1990,113100
8/1/1990,113000
9/1/1990,114400
10/1/1990,112800
11/1/1990,113300
12/1/1990,113700
